"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"197",103,"propMissAct_0.24_autoCorr_0.26","intercept",5.74555385520083,0.660256063186372,"MAR","dropNA_complete",103
"198",103,"propMissAct_0.24_autoCorr_0.26","xreg1",1.64424957349932,0.183570102464856,"MAR","dropNA_complete",103
"199",103,"propMissAct_0.24_autoCorr_0.26","xreg2",-1.76189024189294,0.186624866099076,"MAR","dropNA_complete",103
"200",103,"propMissAct_0.24_autoCorr_0.26","sigma",0.62245908818171,NA,"MAR","dropNA_complete",103
"201",103,"propMissAct_0.42_autoCorr_0.2","ar1",0.282114603641588,0.0647479812830915,"MAR","dropNA_complete",103
"202",103,"propMissAct_0.42_autoCorr_0.2","intercept",5.4053396718035,0.776325987304193,"MAR","dropNA_complete",103
"203",103,"propMissAct_0.42_autoCorr_0.2","xreg1",1.91933556841905,0.200005554170275,"MAR","dropNA_complete",103
"204",103,"propMissAct_0.42_autoCorr_0.2","xreg2",-1.69276213925122,0.219026939573394,"MAR","dropNA_complete",103
"205",103,"propMissAct_0.42_autoCorr_0.2","sigma",0.540937628050241,NA,"MAR","dropNA_complete",103
"206",103,"propMissAct_0.64_autoCorr_0.22","ar1",0.267704696893144,0.0867271853856476,"MAR","dropNA_complete",103
"207",103,"propMissAct_0.64_autoCorr_0.22","intercept",5.36864739149378,1.02237363740571,"MAR","dropNA_complete",103
"208",103,"propMissAct_0.64_autoCorr_0.22","xreg1",2.33367768595133,0.327868912005121,"MAR","dropNA_complete",103
"209",103,"propMissAct_0.64_autoCorr_0.22","xreg2",-1.73363080354684,0.289173448063487,"MAR","dropNA_complete",103
"210",103,"propMissAct_0.64_autoCorr_0.22","sigma",0.640933003707516,NA,"MAR","dropNA_complete",103
"211",103,"propMissAct_0.24_autoCorr_0.26","ar1",0.356511648425321,0.0440667936861295,"MAR","Kalman Filter",103
"212",103,"propMissAct_0.24_autoCorr_0.26","intercept",5.47172156744792,0.575518672524649,"MAR","Kalman Filter",103
"213",103,"propMissAct_0.24_autoCorr_0.26","xreg1",1.69765676514687,0.157937363593936,"MAR","Kalman Filter",103
"214",103,"propMissAct_0.24_autoCorr_0.26","xreg2",-1.68922120158877,0.162189532900766,"MAR","Kalman Filter",103
"215",103,"propMissAct_0.24_autoCorr_0.26","sigma",0.583929293833794,NA,"MAR","Kalman Filter",103
"216",103,"propMissAct_0.42_autoCorr_0.2","ar1",0.327757219125064,0.0570774887226636,"MAR","Kalman Filter",103
"217",103,"propMissAct_0.42_autoCorr_0.2","intercept",5.2916571382236,0.597228484862565,"MAR","Kalman Filter",103
"218",103,"propMissAct_0.42_autoCorr_0.2","xreg1",2.08064692280856,0.16122334159809,"MAR","Kalman Filter",103
"219",103,"propMissAct_0.42_autoCorr_0.2","xreg2",-1.68888986741593,0.167065526771757,"MAR","Kalman Filter",103
"220",103,"propMissAct_0.42_autoCorr_0.2","sigma",0.563131569058768,NA,"MAR","Kalman Filter",103
"221",103,"propMissAct_0.64_autoCorr_0.22","ar1",0.394982163566527,0.0752915146623609,"MAR","Kalman Filter",103
"222",103,"propMissAct_0.64_autoCorr_0.22","intercept",5.09945986864087,0.683002332908253,"MAR","Kalman Filter",103
"223",103,"propMissAct_0.64_autoCorr_0.22","xreg1",2.18287848401481,0.198203450435506,"MAR","Kalman Filter",103
"224",103,"propMissAct_0.64_autoCorr_0.22","xreg2",-1.63773157228882,0.193430137417207,"MAR","Kalman Filter",103
"225",103,"propMissAct_0.64_autoCorr_0.22","sigma",0.481807601741109,NA,"MAR","Kalman Filter",103
"226",103,"propMissAct_0.24_autoCorr_0.26","intercept",0.280223691270344,0.0404331855214156,"MAR","Multiple Imputations",103
